"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test adding lab test with invalid patient name","6094","HM07_03 - Invalid Patient Name","","Sun Jun 22 01:26:21 MYT 2025","failed","Sun Jun 22 01:26:27 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"","12174","HM02_08: Invalid Last Name with special characters","","Sun Jun 22 01:16:28 MYT 2025","failed","Sun Jun 22 01:16:40 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test admin login with invalid password","987","HM01_05: should show error with invalid password (abcde)","","Sun Jun 22 01:14:52 MYT 2025","passed","Sun Jun 22 01:14:53 MYT 2025","","HM01: Admin Login Tests","",""
"Test adding pharmaceutical category with valid category name","4070","HM04_02: Valid Pharmaceutical Category Name","","Sun Jun 22 01:22:52 MYT 2025","passed","Sun Jun 22 01:22:56 MYT 2025","","HM04: Admin Add Pharmaceutical Category Tests","",""
"Test adding pharmaceutical with missing category","5069","HM06_11 - Missing Category","","Sun Jun 22 01:25:34 MYT 2025","failed","Sun Jun 22 01:25:39 MYT 2025","","HM06: Admin Add Pharmaceutical Tests","",""
"","4741","HM03_17: All fields are filled with invalid Password (too simple)","","Sun Jun 22 01:21:55 MYT 2025","failed","Sun Jun 22 01:22:00 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding vitals with invalid patient number","1694","HM08_13 - Invalid Patient Number","","Sun Jun 22 01:28:23 MYT 2025","failed","Sun Jun 22 01:28:24 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test adding lab test with invalid patient number","1649","HM07_12 - Invalid Patient Number","","Sun Jun 22 01:27:05 MYT 2025","failed","Sun Jun 22 01:27:07 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"","4522","HM03_09: All fields are filled with invalid Last Name (special characters)","","Sun Jun 22 01:21:19 MYT 2025","failed","Sun Jun 22 01:21:23 MYT 2025","","HM03: Update Employee Tests","",""
"","11282","HM05_12: Invalid Equipment Quantity with special characters","","Sun Jun 22 01:24:32 MYT 2025","failed","Sun Jun 22 01:24:43 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"Login with Invalid data in terms of password - Test admin login with weak password Abc123","959","HM01_12: should show error with invalid password (Abc123)","","Sun Jun 22 01:14:58 MYT 2025","passed","Sun Jun 22 01:14:59 MYT 2025","","HM01: Admin Login Tests","",""
"","2358","HM05_01: All required fields are filled","","Sun Jun 22 01:23:27 MYT 2025","passed","Sun Jun 22 01:23:29 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"Test updating employee with valid last name","4276","HM03_07: All fields are filled with valid Last Name","","Sun Jun 22 01:21:10 MYT 2025","passed","Sun Jun 22 01:21:14 MYT 2025","","HM03: Update Employee Tests","",""
"","5251","HM03_25: All fields are filled with invalid File Type (doc)","","Sun Jun 22 01:22:35 MYT 2025","failed","Sun Jun 22 01:22:40 MYT 2025","","HM03: Update Employee Tests","",""
"Test adding lab test with valid patient number","2018","HM07_10 - Valid Patient Number","","Sun Jun 22 01:26:58 MYT 2025","passed","Sun Jun 22 01:27:00 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"","12069","HM02_14: Invalid Date of Birth with asterisks","","Sun Jun 22 01:17:33 MYT 2025","failed","Sun Jun 22 01:17:45 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding vitals with invalid heart pulse","6943","HM08_19 - Invalid Heart Pulse","","Sun Jun 22 01:28:47 MYT 2025","failed","Sun Jun 22 01:28:54 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test adding vitals with valid respiratory rate","3299","HM08_22 - Valid Respiratory Rate","","Sun Jun 22 01:29:05 MYT 2025","passed","Sun Jun 22 01:29:08 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","12437","HM02_27: Invalid Mobile Number with special characters","","Sun Jun 22 01:19:23 MYT 2025","failed","Sun Jun 22 01:19:35 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding pharmaceutical category with space-only category name","4080","HM04_06: Invalid Pharmaceutical Category Name (spaces)","","Sun Jun 22 01:23:08 MYT 2025","failed","Sun Jun 22 01:23:12 MYT 2025","","HM04: Admin Add Pharmaceutical Category Tests","",""
"Test adding vitals with valid patient ailment","2813","HM08_06 - Valid Patient Ailment","","Sun Jun 22 01:27:48 MYT 2025","passed","Sun Jun 22 01:27:51 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"","2014","HM02_33: Invalid Patient Ailment with empty string","","Sun Jun 22 01:20:19 MYT 2025","failed","Sun Jun 22 01:20:21 MYT 2025","","HM02:Admin Add Patient Tests","",""
"Test adding pharmaceutical category with numeric category name","4054","HM04_04: Invalid Pharmaceutical Category Name (numbers)","","Sun Jun 22 01:23:00 MYT 2025","failed","Sun Jun 22 01:23:04 MYT 2025","","HM04: Admin Add Pharmaceutical Category Tests","",""
"Test adding vitals with invalid patient ailment","5844","HM08_07 - Invalid Patient Ailment","","Sun Jun 22 01:27:51 MYT 2025","failed","Sun Jun 22 01:27:57 MYT 2025","","HM08: Doctor Patient Vitals Test Cases","",""
"Test adding lab test with invalid lab test data","5993","HM07_15 - Invalid Lab Test","","Sun Jun 22 01:27:15 MYT 2025","failed","Sun Jun 22 01:27:21 MYT 2025","","HM07: Doctor Patient Lab Test Cases","",""
"","11124","HM05_03: Invalid Equipment Name with numbers","","Sun Jun 22 01:23:30 MYT 2025","failed","Sun Jun 22 01:23:41 MYT 2025","","Admin Add Laboratory Equipment Tests","",""
"","12188","HM02_21: Invalid Address with special characters","","Sun Jun 22 01:18:29 MYT 2025","failed","Sun Jun 22 01:18:41 MYT 2025","","HM02:Admin Add Patient Tests","",""
